feature_set,feature,source_feature_count,threshold_abs_r,component_id,component_size,component_features,pd_iqr,pd_mad,selection_rule,rank
pd_corr_reduced_all_090,f1,752.0,0.9,11.0,1.0,f1,152.89331229999993,77.04080208333335,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,f2,752.0,0.9,12.0,1.0,f2,198.03050449999978,104.00630999999998,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,f3,752.0,0.9,13.0,1.0,f3,416.17993308333325,221.74588933333303,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,f4,752.0,0.9,14.0,1.0,f4,460.1660296666664,226.03605233333337,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,b1,752.0,0.9,15.0,1.0,b1,165.71625591499998,71.77777579166666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,b2,752.0,0.9,16.0,1.0,b2,230.57343123916664,85.52201704166669,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,b3,752.0,0.9,17.0,1.0,b3,465.9820099800001,163.939336575,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,b4,752.0,0.9,18.0,1.0,b4,357.10221089083325,161.99770396666668,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GQ_prc5_95,752.0,0.9,19.0,1.0,GQ_prc5_95,0.18522499999999997,0.09948000000000001,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GQ_std_cycle_open,752.0,0.9,20.0,1.0,GQ_std_cycle_open,29.859558333333336,14.415666666666667,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GQ_std_cycle_closed,752.0,0.9,21.0,1.0,GQ_std_cycle_closed,7.7274416666666665,3.512993333333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GNE_mean,752.0,0.9,22.0,1.0,GNE_mean,0.28665000000000007,0.1380283333333331,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GNE_std,752.0,0.9,23.0,1.0,GNE_std,0.10607116666666672,0.0502266666666667,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GNE_NSR_TKEO,752.0,0.9,24.0,2.0,GNE_NSR_TKEO;GNE_SNR_TKEO,0.05700833333333355,0.02856666666666674,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GNE_SNR_SEO,752.0,0.9,25.0,1.0,GNE_SNR_SEO,301115.1340000001,154169.47416666674,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,GNE_NSR_SEO,752.0,0.9,26.0,1.0,GNE_NSR_SEO,0.03292500000000009,0.015583333333333727,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_entropy,752.0,0.9,27.0,2.0,VFER_entropy;VFER_mean,2.5647691666666663,1.173855,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_std,752.0,0.9,28.0,1.0,VFER_std,0.00112723083333335,0.00051897333333335,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_SNR_TKEO,752.0,0.9,29.0,1.0,VFER_SNR_TKEO,105.003525,49.9231,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_SNR_SEO,752.0,0.9,30.0,1.0,VFER_SNR_SEO,164.81521666666666,78.85621666666668,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_NSR_TKEO,752.0,0.9,31.0,1.0,VFER_NSR_TKEO,0.09567500000000018,0.04821666666666691,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,VFER_NSR_SEO,752.0,0.9,32.0,1.0,VFER_NSR_SEO,0.10655000000000014,0.05356666666666665,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,IMF_SNR_SEO,752.0,0.9,33.0,1.0,IMF_SNR_SEO,67.977475,21.988071666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,IMF_SNR_TKEO,752.0,0.9,34.0,1.0,IMF_SNR_TKEO,1.9341708333333334,0.8333083333333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,IMF_SNR_entropy,752.0,0.9,35.0,1.0,IMF_SNR_entropy,12.394849999999998,5.579916666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,IMF_NSR_SEO,752.0,0.9,36.0,2.0,IMF_NSR_SEO;IMF_NSR_entropy,0.07380416666666667,0.03663666666666664,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,IMF_NSR_TKEO,752.0,0.9,37.0,1.0,IMF_NSR_TKEO,5.610233333333333,2.6082166666666664,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_Log_energy,752.0,0.9,38.0,1.0,mean_Log_energy,0.6278833333333331,0.31123333333333125,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_0th_coef,752.0,0.9,39.0,1.0,mean_MFCC_0th_coef,2.483966666666662,1.1854500000000003,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_1st_coef,752.0,0.9,40.0,1.0,mean_MFCC_1st_coef,1.8820250000000005,0.9450833333333328,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_2nd_coef,752.0,0.9,41.0,1.0,mean_MFCC_2nd_coef,2.1095216666666667,1.0063466666666667,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_3rd_coef,752.0,0.9,42.0,1.0,mean_MFCC_3rd_coef,2.1231625000000003,1.1163633333333334,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_4th_coef,752.0,0.9,43.0,1.0,mean_MFCC_4th_coef,1.6349233333333335,0.8353985000000002,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_5th_coef,752.0,0.9,44.0,1.0,mean_MFCC_5th_coef,1.1369151916666667,0.6212208333333336,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_6th_coef,752.0,0.9,45.0,1.0,mean_MFCC_6th_coef,1.123780833333333,0.5673199999999998,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_7th_coef,752.0,0.9,46.0,1.0,mean_MFCC_7th_coef,1.1450855,0.6027946666666668,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_8th_coef,752.0,0.9,47.0,1.0,mean_MFCC_8th_coef,1.081794,0.4712275,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_9th_coef,752.0,0.9,48.0,1.0,mean_MFCC_9th_coef,1.08944925,0.5935816666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_10th_coef,752.0,0.9,49.0,1.0,mean_MFCC_10th_coef,0.9123966666666667,0.4565216666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_11th_coef,752.0,0.9,50.0,1.0,mean_MFCC_11th_coef,0.7437701666666666,0.38312166666666664,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_MFCC_12th_coef,752.0,0.9,51.0,1.0,mean_MFCC_12th_coef,0.7765299999999999,0.3881516666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_0th_delta,752.0,0.9,52.0,2.0,mean_0th_delta;mean_delta_log_energy,0.0070542633333334,0.0035678949999999833,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_1st_delta,752.0,0.9,53.0,1.0,mean_1st_delta,0.0037165316666665747,0.0018376449999999,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_2nd_delta,752.0,0.9,54.0,1.0,mean_2nd_delta,0.0033511749999999,0.0016958249999999,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_3rd_delta,752.0,0.9,55.0,1.0,mean_3rd_delta,0.0028469333333332996,0.00145899166666665,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_4th_delta,752.0,0.9,56.0,1.0,mean_4th_delta,0.00272464499999985,0.0013486700000000002,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_5th_delta,752.0,0.9,57.0,1.0,mean_5th_delta,0.0026100566666666,0.0012760983333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_6th_delta,752.0,0.9,58.0,1.0,mean_6th_delta,0.0029098608333333,0.00141765666666655,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_7th_delta,752.0,0.9,59.0,1.0,mean_7th_delta,0.0021638999999999,0.0010847149999999501,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_8th_delta,752.0,0.9,60.0,1.0,mean_8th_delta,0.00231708083333325,0.0011916933333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_9th_delta,752.0,0.9,61.0,1.0,mean_9th_delta,0.0021893933333332,0.0010872149999999001,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_10th_delta,752.0,0.9,62.0,1.0,mean_10th_delta,0.0021686591666666,0.0010710883333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_11th_delta,752.0,0.9,63.0,1.0,mean_11th_delta,0.001923364999999925,0.0009942533333332998,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_12th_delta,752.0,0.9,64.0,1.0,mean_12th_delta,0.0018646008333331999,0.00097073499999995,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_delta_delta_log_energy,752.0,0.9,65.0,1.0,mean_delta_delta_log_energy,0.00017406666666666665,8.9995e-05,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_delta_delta_0th,752.0,0.9,66.0,1.0,mean_delta_delta_0th,0.000576424999999925,0.0002875433333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_1st_delta_delta,752.0,0.9,67.0,1.0,mean_1st_delta_delta,0.000493047499999925,0.00024707499999995005,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_2nd_delta_delta,752.0,0.9,68.0,1.0,mean_2nd_delta_delta,0.00036006083333332497,0.00017848333333325,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_3rd_delta_delta,752.0,0.9,69.0,1.0,mean_3rd_delta_delta,0.000379592499999975,0.00019147999999995,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_4th_delta_delta,752.0,0.9,70.0,1.0,mean_4th_delta_delta,0.00034156249999995003,0.00016657166666663332,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_5th_delta_delta,752.0,0.9,71.0,1.0,mean_5th_delta_delta,0.0003104191666665,0.0001505516666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_6th_delta_delta,752.0,0.9,72.0,1.0,mean_6th_delta_delta,0.000312927499999925,0.00016214499999995,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_7th_delta_delta,752.0,0.9,73.0,1.0,mean_7th_delta_delta,0.000308452499999925,0.00014770333333328332,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_8th_delta_delta,752.0,0.9,74.0,1.0,mean_8th_delta_delta,0.000252894999999925,0.000126095,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_9th_delta_delta,752.0,0.9,75.0,1.0,mean_9th_delta_delta,0.0002844274999999,0.00014899666666663334,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_10th_delta_delta,752.0,0.9,76.0,1.0,mean_10th_delta_delta,0.00024679999999995,0.00012568999999995,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_11th_delta_delta,752.0,0.9,77.0,1.0,mean_11th_delta_delta,0.00025928333333325,0.00013082499999995,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,mean_12th_delta_delta,752.0,0.9,78.0,1.0,mean_12th_delta_delta,0.00022810666666654998,0.00010425,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_0th_coef,752.0,0.9,79.0,4.0,std_Log_energy;std_MFCC_0th_coef;std_delta_delta_log_energy;std_delta_log_energy,0.31418916666666663,0.1529066666666667,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_1st_coef,752.0,0.9,80.0,4.0,std_1st_delta;std_1st_delta_delta;std_MFCC_1st_coef;std_delta_delta_0th,0.2569316666666667,0.1254316666666666,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_2nd_coef,752.0,0.9,81.0,1.0,std_MFCC_2nd_coef,0.18701083333333335,0.09363666666666667,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_3rd_coef,752.0,0.9,82.0,3.0,std_3rd_delta;std_3rd_delta_delta;std_MFCC_3rd_coef,0.19681000000000004,0.08054166666666665,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_4th_coef,752.0,0.9,83.0,6.0,std_4th_delta;std_4th_delta_delta;std_5th_delta;std_5th_delta_delta;std_MFCC_4th_coef;std_MFCC_5th_coef,0.19811750000000006,0.07124166666666668,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_6th_coef,752.0,0.9,84.0,1.0,std_MFCC_6th_coef,0.1418591666666667,0.06338499999999994,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_7th_coef,752.0,0.9,85.0,3.0,std_7th_delta;std_7th_delta_delta;std_MFCC_7th_coef,0.11152749999999995,0.051185000000000036,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_8th_coef,752.0,0.9,86.0,1.0,std_MFCC_8th_coef,0.09150833333333333,0.045930000000000026,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_9th_coef,752.0,0.9,87.0,1.0,std_MFCC_9th_coef,0.08980500000000002,0.04000333333333338,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_10th_coef,752.0,0.9,88.0,3.0,std_10th_delta;std_10th_delta_delta;std_MFCC_10th_coef,0.08446750000000008,0.04166166666666671,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_11th_coef,752.0,0.9,89.0,1.0,std_MFCC_11th_coef,0.08428000000000002,0.04209000000000007,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_MFCC_12th_coef,752.0,0.9,90.0,1.0,std_MFCC_12th_coef,0.07903083333333324,0.037841666666666704,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_0th_delta,752.0,0.9,91.0,1.0,std_0th_delta,0.03948500000000005,0.020869833333333296,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_2nd_delta,752.0,0.9,92.0,2.0,std_2nd_delta;std_2nd_delta_delta,0.024412083333333397,0.0108785,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_6th_delta,752.0,0.9,93.0,2.0,std_6th_delta;std_6th_delta_delta,0.020071416666666626,0.008439499999999954,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_8th_delta,752.0,0.9,94.0,2.0,std_8th_delta;std_8th_delta_delta,0.014399833333333376,0.006763999999999947,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_9th_delta,752.0,0.9,95.0,2.0,std_9th_delta;std_9th_delta_delta,0.014523749999999953,0.00679900000000005,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_11th_delta,752.0,0.9,96.0,2.0,std_11th_delta;std_11th_delta_delta,0.012786249999999971,0.0060455000000000005,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,std_12th_delta,752.0,0.9,97.0,2.0,std_12th_delta;std_12th_delta_delta,0.012384416666666672,0.005425499999999951,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,Ea,752.0,0.9,98.0,3.0,Ea;Ed_10_coef;Ed_8_coef,0.01912499999997408,0.002166666666681749,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_shannon_5_coef,752.0,0.9,99.0,40.0,Ed2_1_coef;Ed2_2_coef;Ed2_3_coef;Ed2_4_coef;Ed2_5_coef;Ed_1_coef;Ed_2_coef;Ed_3_coef;Ed_4_coef;Ed_5_coef;Ed_6_coef;Ed_7_coef;Ed_9_coef;det_LT_TKEO_mean_1_coef;det_LT_TKEO_mean_2_coef;det_LT_TKEO_mean_3_coef;det_LT_TKEO_mean_4_coef;det_LT_TKEO_mean_5_coef;det_LT_TKEO_std_1_coef;det_LT_TKEO_std_2_coef;det_LT_TKEO_std_3_coef;det_LT_TKEO_std_4_coef;det_LT_TKEO_std_5_coef;det_LT_entropy_shannon_2_coef;det_LT_entropy_shannon_5_coef;det_TKEO_mean_1_coef;det_TKEO_mean_2_coef;det_TKEO_mean_3_coef;det_TKEO_mean_4_coef;det_TKEO_mean_5_coef;det_TKEO_std_1_coef;det_TKEO_std_2_coef;det_TKEO_std_3_coef;det_TKEO_std_4_coef;det_TKEO_std_5_coef;det_entropy_shannon_1_coef;det_entropy_shannon_2_coef;det_entropy_shannon_3_coef;det_entropy_shannon_4_coef;det_entropy_shannon_5_coef,49767.52549166667,1994.2081500000002,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_shannon_6_coef,752.0,0.9,100.0,14.0,Ed2_6_coef;Ed2_7_coef;det_LT_TKEO_mean_6_coef;det_LT_TKEO_mean_7_coef;det_LT_TKEO_std_6_coef;det_LT_TKEO_std_7_coef;det_LT_entropy_shannon_6_coef;det_LT_entropy_shannon_7_coef;det_TKEO_mean_6_coef;det_TKEO_mean_7_coef;det_TKEO_std_6_coef;det_TKEO_std_7_coef;det_entropy_shannon_6_coef;det_entropy_shannon_7_coef,32177.318625,2140.1196166666664,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_shannon_8_coef,752.0,0.9,101.0,3.0,det_TKEO_mean_8_coef;det_TKEO_std_8_coef;det_entropy_shannon_8_coef,73547.555025,10466.153383333334,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_shannon_9_coef,752.0,0.9,102.0,16.0,Ea2;Ed2_10_coef;Ed2_8_coef;Ed2_9_coef;det_LT_TKEO_mean_10_coef;det_LT_TKEO_mean_8_coef;det_LT_TKEO_mean_9_coef;det_LT_TKEO_std_10_coef;det_LT_TKEO_std_8_coef;det_LT_TKEO_std_9_coef;det_LT_entropy_shannon_10_coef;det_LT_entropy_shannon_8_coef;det_LT_entropy_shannon_9_coef;det_TKEO_mean_9_coef;det_TKEO_std_9_coef;det_entropy_shannon_9_coef,14166.758624999999,2411.9475,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_shannon_10_coef,752.0,0.9,103.0,3.0,det_TKEO_mean_10_coef;det_TKEO_std_10_coef;det_entropy_shannon_10_coef,159077.20115,36298.8185,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_entropy_log_1_coef,752.0,0.9,104.0,20.0,det_LT_entropy_log_10_coef;det_LT_entropy_log_1_coef;det_LT_entropy_log_2_coef;det_LT_entropy_log_3_coef;det_LT_entropy_log_4_coef;det_LT_entropy_log_5_coef;det_LT_entropy_log_6_coef;det_LT_entropy_log_7_coef;det_LT_entropy_log_8_coef;det_LT_entropy_log_9_coef;det_entropy_log_10_coef;det_entropy_log_1_coef;det_entropy_log_2_coef;det_entropy_log_3_coef;det_entropy_log_4_coef;det_entropy_log_5_coef;det_entropy_log_6_coef;det_entropy_log_7_coef;det_entropy_log_8_coef;det_entropy_log_9_coef,223.76351666666665,107.35773333333333,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,det_LT_entropy_shannon_1_coef,752.0,0.9,105.0,1.0,det_LT_entropy_shannon_1_coef,0.1677877825,0.0008139433333332998,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
