feature,category,mean_pd,mean_healthy,median_pd,median_healthy,mannwhitney_u,p_mannwhitney,welch_t,p_welch,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney,q_welch,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,q_mannwhitney_scientific,q_welch_scientific
tqwt_entropy_log_dec_13,TQWT,-113512.3008611702,-88205.41107552082,-107495.26393333334,-84121.53034999999,2921.0,8.046360149483321e-10,-6.648573538290376,5.955380508633849e-10,-0.8447927380097662,0.8447927380097662,-0.5144614361702128,0.5144614361702128,3.6040666709605376e-08,2.132593401186978e-08,31805.699008352247,252,0,False,False,3.604e-08,2.133e-08
std_11th_delta_delta,Delta / Delta-delta,0.017338829255319148,0.013950313020833334,0.016383833333333334,0.013777666666666667,9110.0,8.147491144458661e-10,8.401813196555151,8.007739808483758e-15,0.925522704296184,0.925522704296184,0.5142952127659575,0.5142952127659575,3.6040666709605376e-08,8.01618832282593e-13,0.0039336276621706155,250,0,False,False,3.604e-08,8.016e-13
tqwt_stdValue_dec_13,TQWT,0.04350924304964539,0.08754190364583334,0.03328383333333333,0.07870166666666667,2947.0,1.1123843064189906e-09,-5.553669858701647,2.9445482386254516e-07,-0.92857415848284,0.92857415848284,-0.5101396276595744,0.5101396276595744,4.6472944357060046e-08,3.9434798945192555e-06,0.05097187883501582,252,0,False,False,4.647e-08,3.943e-06
tqwt_entropy_log_dec_11,TQWT,-221421.55220602837,-186075.89776770835,-216761.38951666668,-186760.80845,2957.0,1.2590764248707144e-09,-6.3719455365632305,3.3620898866748043e-09,-0.8631043155366398,0.8631043155366398,-0.5084773936170213,0.5084773936170213,4.7930335150361865e-08,8.427638649264842e-08,43594.07966711276,252,0,False,False,4.793e-08,8.428e-08
tqwt_entropy_shannon_dec_13,TQWT,185.8754035035461,473.66258828125,91.45186666666666,371.46528333333333,2958.0,1.2747429561266455e-09,-4.902441097171082,4.740292466476412e-06,-0.8719799113332876,0.8719799113332876,-0.508311170212766,0.508311170212766,4.7930335150361865e-08,4.400864117025014e-05,351.7856662680903,252,0,False,False,4.793e-08,4.401e-05
tqwt_maxValue_dec_12,TQWT,0.09089021945035462,0.17689598958333333,0.07774483333333332,0.14883000000000002,2967.0,1.4245646114826265e-09,-6.007286263074783,5.191377662091912e-08,-1.0807162596652975,1.0807162596652975,-0.5068151595744681,0.5068151595744681,5.052818896783107e-08,9.022876057963019e-07,0.08766160599587049,252,0,False,False,5.053e-08,9.023e-07
tqwt_TKEO_mean_dec_13,TQWT,0.005738961960992908,0.017724379010416666,0.0011744266666666666,0.009319283333333333,2970.0,1.4782182942716537e-09,-3.49205173759963,0.0007482813453550294,-0.5773537218675644,0.5773537218675644,-0.5063164893617021,0.5063164893617021,5.052818896783107e-08,0.002415053955823957,0.021324691875387308,252,0,False,False,5.053e-08,2.415e-03
mean_MFCC_2nd_coef,MFCC,1.65012820929078,0.126563203125,1.6485833333333333,0.22568149999999998,9056.5,1.5817332008551168e-09,6.447254137299822,5.211983294825428e-09,1.0415318809233083,1.0415318809233083,0.5054022606382979,0.5054022606382979,5.171579856708904e-08,1.2248160742839756e-07,1.6008244386502515,251,0,False,False,5.172e-08,1.225e-07
tqwt_minValue_dec_12,TQWT,-0.09069787512411347,-0.177451703125,-0.07726249999999998,-0.15335,9053.0,1.6512680503749006e-09,6.051010346832337,4.340145893909999e-08,1.0913698240173306,1.0913698240173306,0.5048204787234043,0.5048204787234043,5.173973224508022e-08,7.770927886238855e-07,0.08771895730578913,252,0,False,False,5.174e-08,7.771e-07
tqwt_TKEO_std_dec_13,TQWT,0.004827797528368794,0.01493320015625,0.001322565,0.00850275,2999.0,2.1094787916463994e-09,-4.357645629392528,3.718508892980842e-05,-0.7592882215390634,0.7592882215390634,-0.5014960106382979,0.5014960106382979,6.34531220527237e-08,0.0002542107897746903,0.013966863816000688,252,0,False,False,6.345e-08,2.542e-04
std_6th_delta,Delta / Delta-delta,0.047537522163120564,0.03655890625,0.044484666666666665,0.036187500000000004,9016.0,2.594499741685962e-09,8.344778696470327,8.527859917899926e-15,0.8911841874773012,0.8911841874773012,0.49867021276595747,0.49867021276595747,7.504091560568629e-08,8.01618832282593e-13,0.01316788492577514,252,0,False,False,7.504e-08,8.016e-13
tqwt_maxValue_dec_11,TQWT,0.06444053195035461,0.12030037500000001,0.05663750000000001,0.10269933333333334,3037.0,3.3451338065075634e-09,-5.866508853615493,9.850871746064365e-08,-1.0736611451247837,1.0736611451247837,-0.49517952127659576,0.49517952127659576,9.316817120346992e-08,1.6104033810957399e-06,0.05724136723373308,252,0,False,False,9.317e-08,1.610e-06
tqwt_maxValue_dec_13,TQWT,0.16031545939716313,0.28972636458333334,0.12810283333333333,0.2692553333333333,3047.0,3.77317511514207e-09,-5.786712565763814,1.0381703365029968e-07,-0.9513366173604472,0.9513366173604472,-0.49351728723404253,0.49351728723404253,1.0133670309238702e-07,1.6610725384047947e-06,0.14673285248845624,252,0,False,False,1.013e-07,1.661e-06
std_10th_delta,Delta / Delta-delta,0.03887560460992909,0.030703598958333335,0.03663,0.030640333333333332,8972.0,4.410002739183508e-09,7.910250476630803,1.564236315824098e-13,0.8629162653938802,0.8629162653938802,0.4913563829787234,0.4913563829787234,1.1002270759723539e-07,9.802547579164348e-12,0.010080985566828982,252,0,False,False,1.100e-07,9.803e-12
tqwt_minValue_dec_13,TQWT,-0.1604398124113475,-0.29248060416666666,-0.12779233333333334,-0.26768533333333333,8970.0,4.516833791120802e-09,5.748393552278808,1.2743796653987322e-07,0.9585742107863514,0.9585742107863514,0.4910239361702128,0.4910239361702128,1.1002270759723539e-07,1.955782670162952e-06,0.14875148581775408,252,0,False,False,1.100e-07,1.956e-06
tqwt_stdValue_dec_11,TQWT,0.010273008829787236,0.022905569270833336,0.00748695,0.016518666666666668,3063.0,4.571189560467644e-09,-5.402070295753699,7.421323465314652e-07,-1.0418580051504245,1.0418580051504245,-0.49085771276595747,0.49085771276595747,1.1002270759723539e-07,8.585900378333258e-06,0.0132697113858547,252,0,False,False,1.100e-07,8.586e-06
std_Log_energy,Other,0.31668653723404255,0.19252980729166666,0.25613166666666665,0.1674466666666667,8967.0,4.681817344563208e-09,5.009998452997116,1.0367360750941734e-06,0.4674603498523266,0.4674603498523266,0.49052526595744683,0.49052526595744683,1.1002270759723539e-07,1.1465081301041447e-05,0.2700060997565047,252,0,False,False,1.100e-07,1.147e-05
tqwt_entropy_shannon_dec_11,TQWT,25.18469601861702,87.63001020833333,9.550083333333333,37.52643333333333,3083.0,5.802045742100977e-09,-4.52711277351542,2.372623906552149e-05,-0.945202236808772,0.945202236808772,-0.4875332446808511,0.4875332446808511,1.322163150927253e-07,0.0001715589593968477,71.19574580501374,252,0,False,False,1.322e-07,1.716e-04
tqwt_TKEO_std_dec_11,TQWT,0.00044584829078014187,0.0018375244791666665,0.00017943333333333332,0.0007078233333333334,3108.0,7.799780783582766e-09,-4.070152340787504,0.00012727145146507882,-0.9238454469745742,0.9238454469745742,-0.4833776595744681,0.4833776595744681,1.7157802940214766e-07,0.0005090858058603153,0.0016180764896734144,252,0,False,False,1.716e-07,5.091e-04
std_11th_delta,Delta / Delta-delta,0.03631421542553191,0.02933115104166667,0.034527333333333333,0.0285055,8922.0,7.985679559940384e-09,7.619424966395049,1.226656678961636e-12,0.8626086706706424,0.8626086706706424,0.48304521276595747,0.48304521276595747,1.7157802940214766e-07,7.095737096762694e-11,0.00861699706466596,250,0,False,False,1.716e-07,7.096e-11
std_12th_delta_delta,Delta / Delta-delta,0.01660447429078014,0.013607371875,0.015702166666666666,0.013573333333333333,8888.0,1.189296103883197e-08,6.986746553916004,6.842447120207686e-11,0.8370335635270686,0.8370335635270686,0.4773936170212766,0.4773936170212766,2.4843074170004557e-07,2.57276011719809e-09,0.003797504165142989,251,0,False,False,2.484e-07,2.573e-09
tqwt_minValue_dec_11,TQWT,-0.06563566157801419,-0.12150272395833334,-0.05903266666666667,-0.0987885,8861.0,1.626606406854277e-08,5.708057378149719,1.8428772704985321e-07,1.0287606179106465,1.0287606179106465,0.472905585106383,0.472905585106383,3.305967616093017e-07,2.6147994479526344e-06,0.05930434994079044,252,0,False,False,3.306e-07,2.615e-06
tqwt_kurtosisValue_dec_18,TQWT,2.757937145390071,2.169,2.491883333333333,2.1369666666666665,8837.0,2.1435933312997e-08,6.837436668613912,6.226953568442434e-11,0.6408610424769408,0.6408610424769408,0.4689162234042553,0.4689162234042553,4.2420583819404593e-07,2.57276011719809e-09,0.9505442648065496,252,0,False,False,4.242e-07,2.573e-09
std_12th_delta,Delta / Delta-delta,0.03460025,0.028524765624999997,0.0327415,0.027583666666666666,8831.0,2.2959236609623432e-08,6.278769291399971,3.3367755314357778e-09,0.7705627037945119,0.7705627037945119,0.4679188829787234,0.4679188829787234,4.4270117770350824e-07,8.427638649264842e-08,0.008286445446454242,252,0,False,False,4.427e-07,8.428e-08
tqwt_kurtosisValue_dec_36,TQWT,37.116124290780135,15.0748296875,33.81706666666667,5.318316666666667,8814.0,2.7868128631775048e-08,6.527514686002343,8.556447370177537e-10,0.7898843430338406,0.7898843430338406,0.465093085106383,0.465093085106383,5.239208182773709e-07,2.5737793689494033e-08,29.402826898739306,252,0,False,False,5.239e-07,2.574e-08
tqwt_TKEO_mean_dec_11,TQWT,0.0002925916234042553,0.0011874366666666668,8.689e-05,0.0004016033333333333,3238.0,3.495361954313979e-08,-3.5411012774363,0.0007289447179228795,-0.7889722185524112,0.7889722185524112,-0.4617686170212766,0.4617686170212766,6.411005340595396e-07,0.002373014839298725,0.0011949459105969399,252,0,False,False,6.411e-07,2.373e-03
tqwt_entropy_log_dec_16,TQWT,-46591.79602411348,-33795.900880208326,-43734.57415,-30102.954933333334,3271.0,5.062567314936788e-08,-6.495564552734764,8.505530960207034e-10,-0.7598796680924645,0.7598796680924645,-0.4562832446808511,0.4562832446808511,9.064406240077297e-07,2.5737793689494033e-08,17673.043732044047,252,0,False,False,9.064e-07,2.574e-08
tqwt_kurtosisValue_dec_20,TQWT,2.5495789893617027,2.0869145833333334,2.4387333333333334,2.012833333333333,8744.5,6.083111657927358e-08,6.0648653797905165,5.898049644036716e-09,0.6495271334670816,0.6495271334670816,0.4535405585106383,0.4535405585106383,1.0638372015724124e-06,1.3045098036222383e-07,0.7375061873366606,250,0,False,False,1.064e-06,1.305e-07
ppq5Jitter,Jitter,0.0013440933953900707,0.0006150520833333333,0.0008066666666666666,0.0004016666666666667,8739.5,6.428036679200774e-08,5.040099237167166,8.958246729975761e-07,0.47433687301105015,0.47433687301105015,0.4527094414893617,0.4527094414893617,1.0986099051724957e-06,1.0054629165584736e-05,0.0015634032560503527,208,0,False,False,1.099e-06,1.005e-05
tqwt_energy_dec_26,TQWT,0.0721716747322695,0.02917807986458333,0.03785878333333333,0.0027630166666666664,8734.0,6.8336271010781e-08,4.6580740444866,6.5662239991106685e-06,0.5564070909337864,0.5564070909337864,0.45179521276595747,0.45179521276595747,1.1419750177801624e-06,5.6756326980818645e-05,0.07920539541597234,252,0,False,False,1.142e-06,5.676e-05
tqwt_energy_dec_27,TQWT,0.052412503421985814,0.013015649322916666,0.003461066666666667,0.00014695833333333333,8720.5,7.931119586548146e-08,4.796738004276094,2.7880769152386556e-06,0.47074997441413335,0.47074997441413335,0.44955119680851063,0.44955119680851063,1.296565636757436e-06,2.8332889733236067e-05,0.08510246952333701,251,0,False,False,1.297e-06,2.833e-05
locPctJitter,Jitter,0.0026372720833333333,0.0014051562500000002,0.0017766666666666668,0.0011133333333333334,8713.5,8.564184564258421e-08,5.429995035081055,1.3395347057654406e-07,0.5292125750841494,0.5292125750841494,0.4483876329787234,0.4483876329787234,1.3702695302813471e-06,2.0146601974712225e-06,0.002380158862540476,226,0,False,False,1.370e-06,2.015e-06
tqwt_entropy_shannon_dec_16,TQWT,503.38932592198586,895.4161901041666,337.1115166666667,953.4248833333334,3329.0,9.610318721349975e-08,-5.5175012731813045,2.5411879695165584e-07,-0.8215415662178779,0.8215415662178779,-0.44664228723404253,0.44664228723404253,1.5056165996781627e-06,3.474497005593549e-06,504.9913671327967,252,0,False,False,1.506e-06,3.474e-06
tqwt_entropy_log_dec_15,TQWT,-61823.210122961,-47116.62983802083,-58289.61023333333,-43980.23046666666,3332.0,9.930794130371032e-08,-6.161213934079517,5.638761172013427e-09,-0.7435505036591878,0.7435505036591878,-0.4461436170212766,0.4461436170212766,1.5100009516669945e-06,1.284954061016393e-07,20714.182230460912,252,0,False,False,1.510e-06,1.285e-07
tqwt_TKEO_std_dec_14,TQWT,0.014850902184397165,0.034122469791666665,0.007104666666666667,0.023470166666666667,3333.0,1.0039899944594378e-07,-4.394618777137707,3.208746520816872e-05,-0.7589341115156016,0.7589341115156016,-0.44597739361702127,0.44597739361702127,1.5100009516669945e-06,0.00022605817621008657,0.026646785376021165,252,0,False,False,1.510e-06,2.261e-04
locAbsJitter,Jitter,1.934600531914894e-05,9.060364583333333e-06,1.2138333333333332e-05,5.763333333333333e-06,8693.5,1.0660452786967726e-07,5.137993225602718,5.649053394031704e-07,0.5067243513351573,0.5067243513351573,0.445063164893617,0.445063164893617,1.5718942148626922e-06,6.823513772656449e-06,2.070737785457488e-05,244,0,False,False,1.572e-06,6.824e-06
tqwt_stdValue_dec_14,TQWT,0.07677007762411346,0.13099857135416665,0.06323616666666668,0.12363983333333334,3351.0,1.221413118384176e-07,-5.263277840708448,8.709601868882311e-07,-0.828058268913319,0.828058268913319,-0.4429853723404255,0.4429853723404255,1.7663512788940388e-06,9.923667583938633e-06,0.06936795077621087,252,0,False,False,1.766e-06,9.924e-06
tqwt_TKEO_std_dec_7,TQWT,0.000134931217285461,0.0003787781770833333,5.32e-05,0.000199105,3356.5,1.2964799359835477e-07,-2.234068421680284,0.028869648240924292,-0.5120676093508477,0.5120676093508477,-0.44207114361702127,0.44207114361702127,1.839533795961562e-06,0.06167606669652008,0.00048603849859965847,251,0,False,False,1.840e-06,6.168e-02
tqwt_entropy_log_dec_14,TQWT,-80765.83566170212,-63356.902481770834,-76526.97543333334,-58695.69288333333,3362.0,1.3760159540367563e-07,-5.974547236994188,1.5527030248645632e-08,-0.7336867004448674,0.7336867004448674,-0.441156914893617,0.441156914893617,1.9162296248808163e-06,3.15576398567068e-07,24818.801790473233,252,0,False,False,1.916e-06,3.156e-07
tqwt_TKEO_mean_dec_16,TQWT,0.049946285851063824,0.10948699953124999,0.018199316666666666,0.070035,3379.0,1.652807734119162e-07,-4.369688992404566,3.367826261013919e-05,-0.7245187280054314,0.7245187280054314,-0.4383311170212766,0.4383311170212766,2.259838938286563e-06,0.00023450049521133958,0.08585792630812342,252,0,False,False,2.260e-06,2.345e-04
tqwt_entropy_shannon_dec_14,TQWT,338.8807348758865,661.5254145833334,206.37251666666668,602.5635166666666,3388.0,1.8204077028562104e-07,-4.933748166448369,3.641614130237372e-06,-0.8048752520386268,0.8048752520386268,-0.43683510638297873,0.43683510638297873,2.401660688680474e-06,3.561524964163734e-05,423.24859202925586,252,0,False,False,2.402e-06,3.562e-05
tqwt_stdValue_dec_16,TQWT,0.14080303705673758,0.2287563333333333,0.10948516666666666,0.22916666666666663,3388.0,1.8204077028562104e-07,-5.334933112367987,5.452278563170674e-07,-0.78409777653922,0.78409777653922,-0.43683510638297873,0.43683510638297873,2.401660688680474e-06,6.7214975073841755e-06,0.11810264475912499,252,0,False,False,2.402e-06,6.721e-06
tqwt_TKEO_mean_dec_14,TQWT,0.016960763829787232,0.037689434687499995,0.0062313333333333335,0.026540166666666667,3403.0,2.1368815474004523e-07,-3.8792780811644234,0.00020149406867765097,-0.646140207551145,0.646140207551145,-0.4343417553191489,0.4343417553191489,2.7705774545605867e-06,0.0007501165328989779,0.03320267536759841,252,0,False,False,2.771e-06,7.501e-04
tqwt_energy_dec_12,TQWT,0.003678672269503546,0.012670401822916665,0.0012526933333333332,0.005013366666666666,3410.0,2.3021741379202344e-07,-4.192647159871892,7.716632524726148e-05,-0.8479691647519396,0.8479691647519396,-0.4331781914893617,0.4331781914893617,2.934296528332231e-06,0.00040213835986898776,0.011263559896773849,252,0,False,False,2.934e-06,4.021e-04
tqwt_entropy_shannon_dec_15,TQWT,412.4240973758865,768.8725302083333,272.23473333333334,692.7217666666667,3416.0,2.4536276386478696e-07,-5.212495383335418,1.131841920825636e-06,-0.838945934305405,0.838945934305405,-0.4321808510638298,0.4321808510638298,3.0752133071053297e-06,1.2159216063726831e-05,450.7331351833436,252,0,False,False,3.075e-06,1.216e-05
tqwt_stdValue_dec_15,TQWT,0.10289697384751773,0.17121188541666668,0.08482616666666666,0.1598133333333333,3441.0,3.1949171020050717e-07,-5.334497813638509,6.377406073271858e-07,-0.8354788595459939,0.8354788595459939,-0.42802526595744683,0.42802526595744683,3.938651902799695e-06,7.4934521360944335e-06,0.08670107088793993,252,0,False,False,3.939e-06,7.493e-06
tqwt_stdValue_dec_7,TQWT,0.005085027588652483,0.009210492083333332,0.003885,0.008735683333333334,3449.0,3.4747935426764677e-07,-4.370008073431614,3.633422728174835e-05,-0.7783675610831792,0.7783675610831792,-0.42669547872340424,0.42669547872340424,4.148414703834555e-06,0.0002506728340905941,0.005576135344642032,252,0,False,False,4.148e-06,2.507e-04
apq11Shimmer,Shimmer,0.05990960011524822,0.0421459375,0.0531821925,0.03570833333333333,8582.0,3.511363940538689e-07,4.723037793101991,6.296217735021887e-06,0.6449127666951924,0.6449127666951924,0.4265292553191489,0.4265292553191489,4.148414703834555e-06,5.505529926437743e-05,0.028503556830923312,250,0,False,False,4.148e-06,5.506e-05
tqwt_TKEO_mean_dec_7,TQWT,7.327378681382979e-05,0.00021403122916666665,2.0186666666666668e-05,0.00010399166666666667,3451.0,3.5483414671550775e-07,-2.30253740487888,0.024448257877557947,-0.5234697974678233,0.5234697974678233,-0.4263630319148936,0.4263630319148936,4.148414703834555e-06,0.05375757287696952,0.0002747427165832224,250,0,False,False,4.148e-06,5.376e-02
tqwt_entropy_log_dec_10,TQWT,-262846.7532914007,-228721.51159062498,-257902.12116666665,-220395.90373333334,3452.0,3.585730794537847e-07,-5.512420884485707,1.60290470612261e-07,-0.6970116608670742,0.6970116608670742,-0.4261968085106383,0.4261968085106383,4.148414703834555e-06,2.318046805777313e-06,50976.8236584125,252,0,False,False,4.148e-06,2.318e-06
tqwt_entropy_shannon_dec_7,TQWT,15.036535696046098,37.43142223958333,6.186966666666667,25.339516666666665,3468.0,4.237587448345629e-07,-2.7989835771334173,0.006643376600020579,-0.601807962448948,0.601807962448948,-0.42353723404255317,0.42353723404255317,4.75621755396405e-06,0.017407035551273434,38.32515349909965,252,0,False,False,4.756e-06,1.741e-02
tqwt_kurtosisValue_dec_35,TQWT,16.6128975177305,9.326543229166667,12.9894,5.5998,8564.0,4.237587448345629e-07,5.271105059570665,4.707593793123927e-07,0.6567139791929718,0.6567139791929718,0.42353723404255317,0.42353723404255317,4.75621755396405e-06,6.000187343100328e-06,11.497168524908826,252,0,False,False,4.756e-06,6.000e-06
ddpJitter,Jitter,0.0021122777234042554,0.0009419270833333331,0.0011200000000000001,0.000585,8555.0,4.6516822400245226e-07,4.646688391438747,5.462600674653385e-06,0.44795904825777416,0.44795904825777416,0.4220412234042553,0.4220412234042553,5.144213300733002e-06,4.949247840167886e-05,0.0026516360851890825,212,0,False,False,5.144e-06,4.949e-05
rapJitter,Jitter,0.0007040688492907802,0.00031390624999999995,0.000375,0.000195,8552.5,4.771761445845863e-07,4.646989938988298,5.455317817062776e-06,0.4480299524526665,0.4480299524526665,0.421625664893617,0.421625664893617,5.190432394893818e-06,4.949247840167886e-05,0.000883847547080086,184,0,False,False,5.190e-06,4.949e-05
DFA,Nonlinear,0.7128482712765958,0.6638655729166667,0.71339,0.65959,8551.0,4.85002216108682e-07,5.454438221678284,2.989073856218053e-07,0.7789538176072653,0.7789538176072653,0.42137632978723405,0.42137632978723405,5.190432394893818e-06,3.9434798945192555e-06,0.06616222630518774,251,0,False,False,5.190e-06,3.943e-06
tqwt_maxValue_dec_14,TQWT,0.2623251331560284,0.41884695833333335,0.230545,0.4017066666666667,3482.0,4.900541223902408e-07,-5.194227268373427,1.1293457303947845e-06,-0.8058244826734523,0.8058244826734523,-0.42121010638297873,0.42121010638297873,5.190432394893818e-06,1.2159216063726831e-05,0.20511170843624107,252,0,False,False,5.190e-06,1.216e-05
minIntensity,Intensity,69.40208544873227,75.00425499880208,72.90449888666666,76.49278548333334,3489.0,5.26847553693041e-07,-6.834522285874735,6.707121436314025e-11,-0.6883184436067358,0.6883184436067358,-0.4200465425531915,0.4200465425531915,5.502630005238428e-06,2.57276011719809e-09,8.465378932466471,252,0,False,False,5.503e-06,2.573e-09
tqwt_minValue_dec_14,TQWT,-0.2629771290780142,-0.41897315625,-0.23016666666666669,-0.39738,8540.0,5.434189793786834e-07,5.185308495771119,1.1695435010815986e-06,0.8035063393145035,0.8035063393145035,0.4195478723404255,0.4195478723404255,5.597959897161232e-06,1.2215232122407808e-05,0.20494746324309532,252,0,False,False,5.598e-06,1.222e-05
tqwt_energy_dec_28,TQWT,0.02280597278723404,0.0061289785,0.00036326666666666664,7.972333333333333e-05,8534.0,5.780824096905085e-07,3.3628987321264807,0.0008982754386822185,0.3406016528463417,0.3406016528463417,0.4185505319148936,0.4185505319148936,5.8745671903684105e-06,0.002831514712662266,0.04930595189226657,252,0,False,False,5.875e-06,2.832e-03
tqwt_entropy_shannon_dec_17,TQWT,595.5311342198581,944.2869739583334,498.51918333333333,1038.05225,3500.0,5.901034541816177e-07,-5.636278468047905,1.1558968026814663e-07,-0.7710980324462272,0.7710980324462272,-0.418218085106383,0.418218085106383,5.916770633927687e-06,1.8109049908676307e-06,475.37680090506956,252,0,False,False,5.917e-06,1.811e-06
